"ninjasheet.bmp":"s0" = {
		67:283:16:16
		}

"ninjasheet.bmp":"s1" = {
		0:0:16:16
		}

Untitled<800,600,48, 35> {
{2, 5, s0},
{2, 6, s0},
{2, 7, s0},
{2, 9, s0},
{2, 11, s0},
{3, 5, s0},
{3, 14, s0},
{3, 16, s0},
{4, 5, s0},
{5, 22, s0},
{5, 24, s0},
{6, 12, s0},
{6, 14, s0},
{6, 16, s0},
{6, 17, s0},
{6, 19, s0},
{6, 21, s0},
{6, 22, s0},
{7, 11, s0},
{7, 22, s0},
{8, 5, s0},
{8, 10, s0},
{8, 23, s0},
{8, 29, s0},
{8, 30, s0},
{9, 4, s0},
{9, 10, s0},
{10, 4, s0},
{10, 10, s0},
{10, 24, s0},
{10, 32, s0},
{11, 10, s0},
{11, 33, s0},
{12, 11, s0},
{12, 24, s0},
{12, 33, s0},
{13, 4, s0},
{13, 11, s0},
{13, 34, s0},
{14, 11, s0},
{14, 25, s0},
{14, 34, s0},
{15, 12, s0},
{15, 34, s0},
{16, 12, s0},
{17, 4, s0},
{17, 12, s0},
{17, 13, s0},
{17, 34, s0},
{18, 13, s0},
{18, 25, s0},
{18, 34, s0},
{19, 4, s0},
{19, 14, s0},
{20, 4, s0},
{20, 14, s0},
{20, 15, s0},
{20, 26, s0},
{21, 4, s0},
{21, 15, s0},
{22, 4, s0},
{22, 15, s0},
{22, 26, s0},
{23, 4, s0},
{23, 15, s0},
{24, 15, s0},
{24, 16, s0},
{24, 27, s0},
{25, 4, s0},
{25, 16, s0},
{25, 20, s0},
{25, 21, s0},
{25, 24, s0},
{25, 27, s0},
{25, 30, s0},
{25, 32, s0},
{25, 33, s0},
{25, 34, s0},
{26, 5, s0},
{26, 15, s0},
{26, 16, s0},
{26, 17, s0},
{27, 10, s0},
{27, 11, s0},
{27, 12, s0},
{27, 13, s0},
{27, 14, s0},
{27, 15, s0},
{27, 16, s0},
{27, 27, s0},
{28, 5, s0},
{28, 13, s0},
{28, 14, s0},
{28, 27, s0},
{29, 10, s0},
{29, 27, s0},
{30, 4, s0},
{30, 9, s0},
{30, 27, s0},
{31, 4, s0},
{31, 8, s0},
{31, 15, s0},
{31, 16, s0},
{31, 17, s0},
{31, 18, s0},
{31, 20, s0},
{31, 27, s0},
{32, 4, s0},
{32, 7, s0},
{32, 8, s0},
{32, 12, s0},
{32, 13, s0},
{32, 14, s0},
{32, 15, s0},
{32, 16, s0},
{32, 17, s0},
{32, 18, s0},
{32, 19, s0},
{32, 21, s0},
{32, 22, s0},
{33, 4, s0},
{33, 7, s0},
{33, 10, s0},
{33, 12, s0},
{33, 21, s0},
{33, 23, s0},
{34, 4, s0},
{34, 7, s0},
{34, 9, s0},
{34, 11, s0},
{34, 12, s0},
{34, 21, s0},
{34, 24, s0},
{35, 4, s0},
{35, 6, s0},
{35, 7, s0},
{35, 11, s0},
{35, 21, s0},
{35, 24, s0},
{36, 4, s0},
{36, 6, s0},
{36, 7, s0},
{36, 11, s0},
{36, 25, s0},
{37, 6, s0},
{37, 11, s0},
{37, 12, s0},
{37, 20, s0},
{37, 21, s0},
{37, 25, s0},
{38, 5, s0},
{38, 6, s0},
{38, 12, s0},
{38, 13, s0},
{38, 19, s0},
{38, 20, s0},
{39, 5, s0},
{39, 6, s0},
{39, 13, s0},
{39, 14, s0},
{39, 15, s0},
{39, 16, s0},
{39, 17, s0},
{39, 18, s0},
{39, 21, s0},
{39, 22, s0},
{39, 23, s0},
{39, 24, s0},
{39, 25, s0},
{39, 26, s0},
{40, 5, s0},
{40, 7, s0},
{40, 25, s0},
{40, 27, s0},
{40, 28, s0},
{40, 29, s0},
{40, 30, s0},
{41, 6, s0},
{41, 7, s0},
{41, 25, s0},
{41, 30, s0},
{41, 31, s0},
{42, 6, s0},
{42, 7, s0},
{42, 25, s0},
{42, 32, s0},
{43, 32, s0},
{44, 6, s0},
{44, 9, s0},
{44, 24, s0},
{44, 25, s0},
{44, 33, s0},
{45, 7, s0},
{45, 9, s0},
{45, 19, s0},
{45, 21, s0},
{45, 23, s0},
{45, 24, s0},
{45, 34, s0},
{46, 8, s0},
{46, 10, s0},
{46, 11, s0},
{46, 12, s0},
{46, 14, s0},
{46, 15, s0},
{46, 16, s0},
{46, 18, s0},
{47, 10, s0},
{47, 11, s0},
{47, 12, s0},
{47, 13, s0},
{47, 17, s0},
{47, 18, s0},
{47, 21, s0},
{47, 23, s0},
{47, 33, s0},
{47, 34, s0},
 0 }

